,Gini
0,0.0
1,0.22860000000000003
2,0.27180000000000004
3,0.2854
4,0.3042
5,0.39180000000000004
6,0.36619999999999997
7,0.2744
8,0.24560000000000004
9,0.35119999999999996
10,0.32720000000000005
11,0.33940000000000003
12,0.33020000000000005
13,0.3426
14,0.2602
15,0.37360000000000004
16,0.3238
17,0.34740000000000004
18,0.26880000000000004
19,0.2952
20,0.30779999999999996
21,0.21120000000000005
22,0.255
23,0.24080000000000001
24,0.3114
25,0.3648
26,0.2986
27,0.3238
28,0.3016
29,0.33940000000000003
30,0.35119999999999996
31,0.2854
32,0.34740000000000004
33,0.34740000000000004
34,0.3238
35,0.2952
36,0.3114
37,0.35119999999999996
38,0.25780000000000003
39,0.3238
40,0.2952
41,0.3238
42,0.32720000000000005
43,0.3358
44,0.2986
45,0.3318
46,0.2986
47,0.3146
48,0.36940000000000006
49,0.32720000000000005
50,0.36940000000000006
51,0.35760000000000003
52,0.36260000000000003
53,0.3358
54,0.3146
55,0.2952
56,0.26880000000000004
57,0.34740000000000004
58,0.32720000000000005
59,0.35419999999999996
60,0.3238
61,0.32000000000000006
62,0.32000000000000006
63,0.30779999999999996
64,0.30779999999999996
65,0.2822
66,0.35119999999999996
67,0.35119999999999996
68,0.36260000000000003
69,0.3358
70,0.3648
71,0.30779999999999996
72,0.3798
73,0.34740000000000004
74,0.2744
75,0.32000000000000006
76,0.3318
77,0.30779999999999996
78,0.35119999999999996
79,0.32720000000000005
80,0.32000000000000006
81,0.26880000000000004
82,0.22619999999999996
83,0.3238
84,0.33020000000000005
85,0.3358
86,0.33940000000000003
87,0.3238
88,0.3546
89,0.32720000000000005
90,0.32720000000000005
91,0.2986
92,0.25780000000000003
93,0.36619999999999997
94,0.3016
95,0.3842
96,0.35860000000000003
97,0.24340000000000006
98,0.33940000000000003
99,0.3358
