lemma,features
gokici',"monkey,noun,nominative,singular"
gokici'ba,"monkey,verb,indicative,perfective,past,1ps"
gokici'baba,"monkey,verb,subjunctive,perfective,past,1ps"
gokici'baca,"monkey,verb,imperative,perfective,past,1ps"
gokici'bada,"monkey,verb,conditional,perfective,past,1ps"
gokici'bafa,"monkey,verb,optative,perfective,past,1ps"
gokici'baga,"monkey,verb,jussive,perfective,past,1ps"
gokici'bababa,"monkey,verb,subjunctive,imperfective,past,1ps"
gokici'babaca,"monkey,verb,subjunctive,progressive,past,1ps"
gokici'babada,"monkey,verb,subjunctive,habitual,past,1ps"
gokici'babafa,"monkey,verb,subjunctive,frequentative,past,1ps"
gokici'babaga,"monkey,verb,subjunctive,iterative,past,1ps"
gokici'bacaba,"monkey,verb,imperative,imperfective,past,1ps"
gokici'bacaca,"monkey,verb,imperative,progressive,past,1ps"
gokici'bacada,"monkey,verb,imperative,habitual,past,1ps"
gokici'bacafa,"monkey,verb,imperative,frequentative,past,1ps"
gokici'bacaga,"monkey,verb,imperative,iterative,past,1ps"
gokici'babababa,"monkey,verb,subjunctive,imperfective,present,1ps"
gokici'bababaca,"monkey,verb,subjunctive,imperfective,future,1ps"
gokici'bababada,"monkey,verb,subjunctive,imperfective,past,1pp"
gokici'bababafa,"monkey,verb,subjunctive,imperfective,past,2pp"
gokici'bababaga,"monkey,verb,subjunctive,imperfective,past,3pp"
gokici'babacaba,"monkey,verb,subjunctive,progressive,present,1ps"
gokici'babacaca,"monkey,verb,subjunctive,progressive,future,1ps"
gokici'babacada,"monkey,verb,subjunctive,progressive,past,1pp"
gokici'babacafa,"monkey,verb,subjunctive,progressive,past,2pp"
gokici'babacaga,"monkey,verb,subjunctive,progressive,past,3pp"
gokici'bacababa,"monkey,verb,imperative,imperfective,present,1ps"
gokici'bacabaca,"monkey,verb,imperative,imperfective,future,1ps"
gokici'bacabada,"monkey,verb,imperative,imperfective,past,1pp"
gokici'bacabafa,"monkey,verb,imperative,imperfective,past,2pp"
gokici'bacabaga,"monkey,verb,imperative,imperfective,past,3pp"
gokici'bacacaba,"monkey,verb,imperative,progressive,present,1ps"
gokici'bacacaca,"monkey,verb,imperative,progressive,future,1ps"
gokici'bacacada,"monkey,verb,imperative,progressive,past,1pp"
gokici'bacacafa,"monkey,verb,imperative,progressive,past,2pp"
gokici'bacacaga,"monkey,verb,imperative,progressive,past,3pp"
gokici'badaba,"monkey,verb,conditional,imperfective,past,1ps"
gokici'badaca,"monkey,verb,conditional,progressive,past,1ps"
gokici'badada,"monkey,verb,conditional,habitual,past,1ps"
gokici'badafa,"monkey,verb,conditional,frequentative,past,1ps"
gokici'badaga,"monkey,verb,conditional,iterative,past,1ps"
gokici'badababa,"monkey,verb,conditional,imperfective,present,1ps"
gokici'badabaca,"monkey,verb,conditional,imperfective,future,1ps"
gokici'badabada,"monkey,verb,conditional,imperfective,past,1pp"
gokici'badabafa,"monkey,verb,conditional,imperfective,past,2pp"
gokici'badabaga,"monkey,verb,conditional,imperfective,past,3pp"
gokici'badacaba,"monkey,verb,conditional,progressive,present,1ps"
gokici'badacaca,"monkey,verb,conditional,progressive,future,1ps"
gokici'badacada,"monkey,verb,conditional,progressive,past,1pp"
gokici'badacafa,"monkey,verb,conditional,progressive,past,2pp"
gokici'badacaga,"monkey,verb,conditional,progressive,past,3pp"
gokici'bafaba,"monkey,verb,optative,imperfective,past,1ps"
gokici'bafaca,"monkey,verb,optative,progressive,past,1ps"
gokici'bafada,"monkey,verb,optative,habitual,past,1ps"
gokici'bafafa,"monkey,verb,optative,frequentative,past,1ps"
gokici'bafaga,"monkey,verb,optative,iterative,past,1ps"
gokici'bafababa,"monkey,verb,optative,imperfective,present,1ps"
gokici'bafabaca,"monkey,verb,optative,imperfective,future,1ps"
gokici'bafabada,"monkey,verb,optative,imperfective,past,1pp"
gokici'bafabafa,"monkey,verb,optative,imperfective,past,2pp"
gokici'bafabaga,"monkey,verb,optative,imperfective,past,3pp"
gokici'bafacaba,"monkey,verb,optative,progressive,present,1ps"
gokici'bafacaca,"monkey,verb,optative,progressive,future,1ps"
gokici'bafacada,"monkey,verb,optative,progressive,past,1pp"
gokici'bafacafa,"monkey,verb,optative,progressive,past,2pp"
gokici'bafacaga,"monkey,verb,optative,progressive,past,3pp"
gokici'bagaba,"monkey,verb,jussive,imperfective,past,1ps"
gokici'bagaca,"monkey,verb,jussive,progressive,past,1ps"
gokici'bagada,"monkey,verb,jussive,habitual,past,1ps"
gokici'bagafa,"monkey,verb,jussive,frequentative,past,1ps"
gokici'bagaga,"monkey,verb,jussive,iterative,past,1ps"
gokici'bagababa,"monkey,verb,jussive,imperfective,present,1ps"
gokici'bagabaca,"monkey,verb,jussive,imperfective,future,1ps"
gokici'bagabada,"monkey,verb,jussive,imperfective,past,1pp"
gokici'bagabafa,"monkey,verb,jussive,imperfective,past,2pp"
gokici'bagabaga,"monkey,verb,jussive,imperfective,past,3pp"
gokici'bagacaba,"monkey,verb,jussive,progressive,present,1ps"
gokici'bagacaca,"monkey,verb,jussive,progressive,future,1ps"
gokici'bagacada,"monkey,verb,jussive,progressive,past,1pp"
gokici'bagacafa,"monkey,verb,jussive,progressive,past,2pp"
gokici'bagacaga,"monkey,verb,jussive,progressive,past,3pp"
gokici'bababababa,"monkey,verb,subjunctive,imperfective,present,2ps"
gokici'babababaca,"monkey,verb,subjunctive,imperfective,present,3ps"
gokici'babababada,"monkey,verb,subjunctive,imperfective,present,1pp"
gokici'babababafa,"monkey,verb,subjunctive,imperfective,present,2pp"
gokici'babababaga,"monkey,verb,subjunctive,imperfective,present,3pp"
gokici'bababacaba,"monkey,verb,subjunctive,imperfective,future,2ps"
gokici'bababacaca,"monkey,verb,subjunctive,imperfective,future,3ps"
gokici'bababacada,"monkey,verb,subjunctive,imperfective,future,1pp"
gokici'bababacafa,"monkey,verb,subjunctive,imperfective,future,2pp"
gokici'bababacaga,"monkey,verb,subjunctive,imperfective,future,3pp"
gokici'babacababa,"monkey,verb,subjunctive,progressive,present,2ps"
gokici'babacabaca,"monkey,verb,subjunctive,progressive,present,3ps"
gokici'babacabada,"monkey,verb,subjunctive,progressive,present,1pp"
gokici'babacabafa,"monkey,verb,subjunctive,progressive,present,2pp"
gokici'babacabaga,"monkey,verb,subjunctive,progressive,present,3pp"
gokici'babacacaba,"monkey,verb,subjunctive,progressive,future,2ps"
gokici'babacacaca,"monkey,verb,subjunctive,progressive,future,3ps"
gokici'babacacada,"monkey,verb,subjunctive,progressive,future,1pp"
gokici'babacacafa,"monkey,verb,subjunctive,progressive,future,2pp"
gokici'babacacaga,"monkey,verb,subjunctive,progressive,future,3pp"
gokici'babadaba,"monkey,verb,subjunctive,habitual,present,1ps"
gokici'babadaca,"monkey,verb,subjunctive,habitual,future,1ps"
gokici'babadada,"monkey,verb,subjunctive,habitual,past,1pp"
gokici'babadafa,"monkey,verb,subjunctive,habitual,past,2pp"
gokici'babadaga,"monkey,verb,subjunctive,habitual,past,3pp"
gokici'babadababa,"monkey,verb,subjunctive,habitual,present,2ps"
gokici'babadabaca,"monkey,verb,subjunctive,habitual,present,3ps"
gokici'babadabada,"monkey,verb,subjunctive,habitual,present,1pp"
gokici'babadabafa,"monkey,verb,subjunctive,habitual,present,2pp"
gokici'babadabaga,"monkey,verb,subjunctive,habitual,present,3pp"
gokici'babadacaba,"monkey,verb,subjunctive,habitual,future,2ps"
gokici'babadacaca,"monkey,verb,subjunctive,habitual,future,3ps"
gokici'babadacada,"monkey,verb,subjunctive,habitual,future,1pp"
gokici'babadacafa,"monkey,verb,subjunctive,habitual,future,2pp"
